Account Name,Industry Sector,Days of Data,Number of Clients,Total Critical Roaming Minutes,Average Critical Roaming Minutes per Client per Day,Total Critical Coverage Minutes,Average Critical Coverage Minutes per Client per Day,Total Critical Congestion Minutes,Average Critical Congestion Minutes per Client per Day,Total Critical Co-Channel Interference Minutes,Average Critical Co-Channel Interference Minutes per Client per Day,Total Critical Adjacent Channel Interference Minutes,Average Critical Adjacent Channel Interference Minutes per Client per Day,Total Critical RF Problem Minutes,Average Critical RF Problem Minutes per Client per Day,Total Average Critical Minutes per Client per Day,Total Average Critical Hours per Client per Day,Total Critical Hours Identified per Day
Informa,Enterprise Office Space,30,1830.0,98756.0,1.798834244080146,581288.0,10.588123861566485,,,229260.0,4.175956284153005,1435307.0,26.144025500910747,,,42.70693989071039,0.7117823315118398,1302.5616666666667
IPO,Enterprise Office Space,30,159.0,8887.0,1.8631027253668762,39408.0,8.261635220125786,3.0,0.0006329113924050633,2095.0,0.43920335429769397,19730.0,4.136268343815513,28.0,0.00590717299578059,14.706749727994055,0.24511249546656758,38.97288677918424
IrvingMaterials,Manufacturing/Distribution,30,59.0,4059.0,2.2932203389830508,5583.0,3.154237288135593,1.0,0.0005649717514124294,1072.0,0.6056497175141243,14526.0,8.206779661016949,7.0,0.0039548022598870055,14.264406779661016,0.23774011299435027,14.026666666666666
Istekki,Hospital Healthcare,30,,,,,,,,,,,,,,0.0,0.0,
JacksonHealth,Hospital Healthcare,30,224.0,45695.0,6.799851190476191,45290.0,6.739583333333333,2.0,0.0002976190476190476,138022.0,20.538988095238096,928.0,0.1380952380952381,110.0,0.01636904761904762,34.23318452380953,0.5705530753968254,127.80388888888889
JohnsManville,Enterprise Office Space,30,32.0,4746.0,4.94375,2279.0,2.3739583333333334,0.0,0.0,4019.0,4.186458333333333,27377.0,28.517708333333335,112.0,0.11666666666666667,40.13854166666667,0.6689756944444445,21.407222222222224
JohnsonJohnson,Enterprise Office Space,30,15.0,660.0,1.4666666666666666,609.0,1.3533333333333333,2.0,0.0044444444444444444,600.0,1.3333333333333333,2541.0,5.6466666666666665,33.0,0.07333333333333333,9.877777777777778,0.16462962962962963,2.4694444444444446
Kaiser,Hospital Healthcare,30,5.0,197.0,1.3133333333333332,0.0,0.0,,,1.0,0.006666666666666667,771.0,5.14,,,6.459999999999999,0.10766666666666665,0.5383333333333332
KeyBank,Enterprise Office Space,30,535.0,4348.0,0.27090342679127727,4856.0,0.3025545171339564,,,0.0,0.0,25857.0,1.6231638418079095,,,2.196621785733143,0.036610363095552385,19.586544256120526
Kingston,Hospital Healthcare,30,282.0,121708.0,14.386288416075649,597.0,0.07056737588652483,12.0,0.0015037593984962405,136286.0,16.109456264775414,30321.0,3.5840425531914892,1271.0,0.15927318295739348,34.31113155228496,0.5718521925380827,161.26231829573933
Kraft Heinz,Enterprise Office Space,30,,,,,,,,,,,,,,0.0,0.0,
LLBean,Manufacturing/Distribution,30,131.0,38841.0,9.88320610687023,619.0,0.1575063613231552,0.0,0.0,78719.0,20.03027989821883,313469.0,79.76310432569974,0.0,0.0,109.83409669211196,1.830568278201866,239.80444444444444
LondonBoroughBrent,Enterprise Office Space,30,42.0,1421.0,1.1277777777777778,746.0,0.5920634920634921,1.0,0.0007936507936507937,2948.0,2.33968253968254,6105.0,4.845238095238096,4.0,0.0031746031746031746,8.908730158730158,0.14847883597883596,6.236111111111111
LSA,Enterprise Office Space,30,118.0,21460.0,6.062146892655367,7118.0,2.0107344632768362,1.0,0.0003401360544217687,7206.0,2.035593220338983,24639.0,6.9601694915254235,10.0,0.003401360544217687,17.072385564395248,0.28453975940658743,33.57569160997732
MaimonidesMed,Hospital Healthcare,30,15.0,1838.0,4.084444444444444,2017.0,4.482222222222222,,,0.0,0.0,8.0,0.017777777777777778,,,8.584444444444443,0.14307407407407405,2.146111111111111
MarksSpencer,Retail,30,2495.0,212871.0,2.843967935871744,2292801.0,30.631943887775552,,,160745.0,2.147561790247161,108713.0,1.4524114896459586,,,37.075885103540415,0.6179314183923402,1541.7388888888888
McKinsey,Enterprise Office Space,30,9.0,65.0,0.24074074074074076,590.0,2.185185185185185,0.0,0.0,268.0,0.9925925925925926,2183.0,8.085185185185185,2.0,0.007407407407407407,11.511111111111111,0.19185185185185186,1.7266666666666668
Melaleuca,Manufacturing/Distribution,30,368.0,12688.0,1.1492753623188405,54380.0,4.925724637681159,16.0,0.002059202059202059,11813.0,1.070018115942029,6702.0,0.6070652173913043,81.0,0.010424710424710425,7.764567245817245,0.1294094540969541,47.622679107679105
Metro  ,Retail,30,247.0,26312.0,3.550877192982456,14420.0,1.9460188933873144,,,84211.0,11.36450742240216,222867.0,30.076518218623484,,,46.93792172739541,0.7822986954565903,193.2277777777778
MetroHealth,Hospital Healthcare,30,,,,,,,,,,,,,,0.0,0.0,
Mondelez,Manufacturing/Distribution,30,601.0,25281.0,1.40216306156406,78027.0,4.327620632279534,83.0,0.004626532887402452,64784.0,3.59312257348863,2521.0,0.13982251802551302,554.0,0.030880713489409142,9.498236031734548,0.15830393386224245,95.14066425120771
MSG-Sphere,High Density Large Venue,30,,,,,,,,,,,,,,0.0,0.0,
MSG-Arena,High Density Large Venue,30,,,,,,,,,,,,,,0.0,0.0,
Mt Sinai FL,Hospital Healthcare,30,309.0,33366.0,3.5993527508090613,10401.0,1.1220064724919092,363.0,0.051931330472103,76013.0,8.173440860215054,160683.0,17.27774193548387,459.0,0.06566523605150215,30.2901385855235,0.5048356430920583,155.99421371544602
Multicap,Enterprise Office Space,30,2.0,21.0,0.35,40.0,0.6666666666666666,1.0,0.016666666666666666,439.0,7.316666666666666,43.0,0.7166666666666667,3.0,0.05,9.116666666666667,0.15194444444444447,0.30388888888888893
NAS,Enterprise Office Space,30,11.0,204.0,0.6181818181818183,2527.0,7.657575757575757,0.0,0.0,142.0,0.4303030303030303,3488.0,10.569696969696968,4.0,0.012121212121212121,19.287878787878785,0.3214646464646464,3.5361111111111105
Natividad,Hospital Healthcare,30,265.0,6480.0,0.8150943396226416,764.0,0.0961006289308176,4.0,0.0005208333333333333,8769.0,1.1030188679245283,15048.0,1.8928301886792454,35.0,0.004557291666666667,3.912122150157233,0.06520203583595388,17.278539496527777
NebraskaMed,Hospital Healthcare,30,14.0,1001.0,2.3833333333333333,20.0,0.04761904761904762,42.0,0.1076923076923077,74.0,0.8222222222222223,0.0,0.0,43.0,0.11025641025641025,3.4711233211233212,0.05785205535205536,0.809928774928775
NicklausHealth,Hospital Healthcare,30,6.0,1330.0,7.388888888888888,388.0,2.155555555555556,0.0,0.0,413.0,2.2944444444444443,439.0,2.438888888888889,25.0,0.1388888888888889,14.416666666666668,0.24027777777777778,1.4416666666666667
Nike,Enterprise Office Space,30,35.0,591.0,0.5628571428571428,545.0,0.5190476190476191,0.0,0.0,660.0,0.6285714285714286,74.0,0.07047619047619048,6.0,0.005882352941176471,1.7868347338935575,0.029780578898225957,1.0423202614379086
Norma,Manufacturing/Distribution,30,242.0,20851.0,2.872038567493113,149730.0,20.62396694214876,,,28956.0,3.988429752066116,146301.0,20.151652892561984,,,47.63608815426997,0.7939348025711662,192.13222222222223
NorthernArizona,Hospital Healthcare,30,149.0,14194.0,3.1753914988814316,60356.0,13.502460850111856,2.0,0.00044742729306487697,43483.0,9.727740492170023,651.0,0.14563758389261747,18.0,0.004026845637583893,26.555704697986574,0.44259507829977623,65.94666666666666
NYMC,Higher Education,30,,,,,,,,,,,,,,0.0,0.0,
NYUAbuDhabi,Higher Education,30,4.0,224.0,1.8666666666666667,11243.0,93.69166666666666,0.0,0.0,40.0,0.3333333333333333,68.0,0.5666666666666667,2.0,0.02222222222222222,96.48055555555554,1.608009259259259,6.432037037037036
OmahaPublicPower,Enterprise Office Space,30,,,,,,,,,,,,,,0.0,0.0,
OrdersStJohn,Enterprise Office Space,30,62.0,6357.0,3.4177419354838707,26221.0,14.09731182795699,15.0,0.008064516129032258,5915.0,3.1801075268817205,42308.0,22.746236559139785,57.0,0.03064516129032258,43.480107526881724,0.7246684587813621,44.92944444444445
PaceUniv,Higher Education,30,14.0,19225.0,45.773809523809526,120195.0,286.17857142857144,98.0,0.362962962962963,53216.0,136.45128205128205,262337.0,672.6589743589743,102.0,0.3777777777777778,1141.803378103378,19.03005630172297,266.42078822412157
